asin,brand_grouped_50,quarter,q_jt,price_mean,price_sd,n_hh,joint_pc1,joint_pc2,joint_pc3,joint_pc4,joint_pc5,text_only_embed
B00JUJ14VQ,Tom's of Maine,2019Q2,1,11.3883123263841,,1,-0.238673692063936,-0.567087973733101,1.30138546778673,-0.767624188043641,0.179233786572439,1
B00JUJ14VQ,Tom's of Maine,2019Q3,1,12.0342523905208,,1,-0.238673692063936,-0.567087973733101,1.30138546778673,-0.767624188043641,0.179233786572439,1
B00JUJ1BCS,Tom's of Maine,2018Q2,2,8.91091183687787,0.014211221112663,2,-1.28173283950926,-1.83205927468775,1.96445806310938,-0.406620281606456,0.398869230882407,0
B00JUJ1BCS,Tom's of Maine,2018Q3,1,8.87005729884806,,1,-1.28173283950926,-1.83205927468775,1.96445806310938,-0.406620281606456,0.398869230882407,0
B00JUJ1BCS,Tom's of Maine,2018Q4,1,11.2018766479014,,1,-1.28173283950926,-1.83205927468775,1.96445806310938,-0.406620281606456,0.398869230882407,0
B00JUJ1BCS,Tom's of Maine,2019Q1,1,11.1698168317418,,1,-1.28173283950926,-1.83205927468775,1.96445806310938,-0.406620281606456,0.398869230882407,0
B00JUJ1BCS,Tom's of Maine,2019Q2,3,10.7798993957987,0.527907952205902,1,-1.28173283950926,-1.83205927468775,1.96445806310938,-0.406620281606456,0.398869230882407,0
B00JUJ1BCS,Tom's of Maine,2019Q3,2,11.0227076479902,1.25168254260675,1,-1.28173283950926,-1.83205927468775,1.96445806310938,-0.406620281606456,0.398869230882407,0
B00JUJ1BCS,Tom's of Maine,2019Q4,2,9.27633461282758,0.924580921203296,2,-1.28173283950926,-1.83205927468775,1.96445806310938,-0.406620281606456,0.398869230882407,0
B00JUJ1BCS,Tom's of Maine,2020Q1,7,6.58898745350242,0.575818382459238,7,-1.28173283950926,-1.83205927468775,1.96445806310938,-0.406620281606456,0.398869230882407,0
B00JUJ1BI2,Tom's of Maine,2018Q2,2,8.91683462273565,0.0198999570856867,2,-1.42423339874848,-1.21160219351401,3.54570238840942,-2.11897667860137,-1.69447163047377,0
B00JUJ1BI2,Tom's of Maine,2020Q4,1,11.4266198818754,,1,-1.42423339874848,-1.21160219351401,3.54570238840942,-2.11897667860137,-1.69447163047377,0
B00JUJ1BI2,Tom's of Maine,2021Q1,1,9.42286508860923,,1,-1.42423339874848,-1.21160219351401,3.54570238840942,-2.11897667860137,-1.69447163047377,0
B00JUJ1BI2,Tom's of Maine,2022Q3,1,9.76340863661312,,1,-1.42423339874848,-1.21160219351401,3.54570238840942,-2.11897667860137,-1.69447163047377,0
B00JUJ1E0W,Tom's of Maine,2018Q1,1,7.468452261226,,1,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
B00JUJ1E0W,Tom's of Maine,2018Q2,2,8.36998654263294,0,2,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
B00JUJ1E0W,Tom's of Maine,2018Q3,5,7.43117788276424,0.0333710875298326,5,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
B00JUJ1E0W,Tom's of Maine,2019Q1,3,8.10126935604279,1.10384036553909,3,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
B00JUJ1E0W,Tom's of Maine,2019Q2,2,8.23438315234598,1.45433604599041,2,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
B00JUJ1E0W,Tom's of Maine,2019Q3,3,7.15587158942885,0.00377816940322058,3,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
B00JUJ1E0W,Tom's of Maine,2019Q4,5,7.33502037643508,0.309283815245833,4,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
B00JUJ1E0W,Tom's of Maine,2020Q1,7,7.65740636260057,0.0171734352213756,6,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
B00JUJ1E0W,Tom's of Maine,2020Q2,2,7.74047069949872,0.00491904814402041,2,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
B00JUJ1E0W,Tom's of Maine,2020Q3,2,7.08494157951816,0.783571744652003,2,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
B00JUJ1E0W,Tom's of Maine,2020Q4,1,7.6095776335957,,1,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
B00JUJ1E0W,Tom's of Maine,2021Q1,4,7.52035682410363,0.0278879537058385,4,-0.979127363602603,-0.360897757345233,3.75228158249018,-1.9446423863798,-1.4348009833822,0
